RCAStationID,SiteName,Locality,GeneralLocation,SiteDescription,LAT,LON,SampleDate,ASCIScore,SampleID,TotBugs,NumTaxa,NumEPT,PctE,PctPTnoH,PctChiro,Pct2Dom,HBI,PctScrapers
BAG01,Ballinger Creek downstream of 625,Fluvanna,"VSH 625, riffle 40 yards downstream of old VDOT access road","riffles beginning ~50 m downstream of 625 crossing, downstream of tributary entering from left",37.85246,-78.238685,11/7/2019,74.63985538,BAG01-20191107-2,274,20,8,12.40875912,25.54744526,3.649635036,55.10948905,4.091240876,48.17518248
BAG01,Ballinger Creek downstream of 625,Fluvanna,"VSH 625, riffle 40 yards downstream of old VDOT access road","riffles beginning ~50 m downstream of 625 crossing, downstream of tributary entering from left",37.85246,-78.238685,11/7/2019,70.69666724,BAG01-20191107-1,482,18,7,13.2780083,45.64315353,2.904564315,63.69294606,3.894190871,30.49792531
BKI01,Buck Island Creek @ 729,Albemarle,"Northeast side of VSH 729 overcrossing.  Take Rt 250 east from Pantops for about 3.5 miles to 729, turn right, follow 729 past the intersection with Rt 53 to where it crosses Buck Island Creek riffle ds of overcrossing",riffles extending to 200 m downstream of bridge,37.955243,-78.403595,11/9/2019,75.80448042,BKI01-20191109-2,220,20,8,10,18.18181818,3.636363636,38.63636364,3.854545455,59.09090909
BKI01,Buck Island Creek @ 729,Albemarle,"Northeast side of VSH 729 overcrossing.  Take Rt 250 east from Pantops for about 3.5 miles to 729, turn right, follow 729 past the intersection with Rt 53 to where it crosses Buck Island Creek riffle ds of overcrossing",riffles extending to 200 m downstream of bridge,37.955243,-78.403595,11/9/2019,72.16047741,BKI01-20191109-1,269,18,7,6.691449814,27.13754647,1.115241636,61.33828996,3.884758364,57.99256506
BKM01,Buck Mountain Creek @ 665 - A,Albemarle,VSH 665,Riffles approx 300 yards downstream of 665,38.1533,-78.5401,11/12/2019,64.9994314,BKM01-20191112-1,229,19,8,11.79039301,6.113537118,10.91703057,53.27510917,4.855895197,47.59825328
BKU03,Buck Mountain Creek upper west of  666 - A,Albemarle,"off VSH 666 below low bridge on private road leading to Joy and George Matthews property, riffles downstream of low concrete private bridge",riffles downstream of low concrete private bridge,38.180913,-78.533573,3/30/2019,64.21993201,BKU03-20190530-1,229,17,11,27.07423581,8.733624454,21.39737991,43.23144105,4.497816594,13.5371179
BRN01,Burnley Branch @ Burnley Station Road,Albemarle,just downstream from Burnley Branch Road,immediately downstream from Burnley Branch Road,38.1674,-78.3385,5/31/2019,50.88926277,BRN01-20190531-1,227,17,9,7.488986784,6.607929515,25.11013216,69.16299559,5.149779736,13.65638767
BVE01,Beaverdam Creek East Prong upstream of 600,Louisa,,Riffles are approx 50 m upstream from 600.  See Healthy Waters spreadsheet for landowner contact info.,38.01457,-78.2693,4/17/2019,42.8543216,BVE01-20190417-1,187,12,7,18.71657754,8.556149733,51.3368984,68.98395722,5.213903743,3.20855615
BVE01,Beaverdam Creek East Prong upstream of 600,Louisa,,Riffles are approx 50 m upstream from 600.  See Healthy Waters spreadsheet for landowner contact info.,38.01457,-78.2693,11/8/2019,68.83385549,BVE01-20191108-1,208,17,5,15.38461538,37.5,4.807692308,50,4.024038462,24.51923077
CDB01,Fluvanna County reference stream #1,Fluvanna,,,,,3/30/2019,,CDB01-20190330-1,59,12,6,25.42372881,32.20338983,27.11864407,49.15254237,4.033898305,5.084745763
CDB01,Fluvanna County reference stream #1,Fluvanna,,,,,11/11/2019,74.13551205,CDB01-20191111-1,203,24,10,28.07881773,14.77832512,2.463054187,34.48275862,4.192118227,19.21182266
CNM07,Cunningham Creek Middle Fork upstream of  Bell Farms Ln,Fluvanna,well upstream of Bell Farms Lane --- near footbridge at/beyond upstream end of field adjacent to stream left,,37.86447,-78.34239,4/17/2019,57.15817957,CNM07-20190417-1,218,16,9,33.02752294,14.67889908,33.02752294,61.46788991,4.344036697,0.917431193
CRL01,Carroll Creek in Glenmore,Albemarle,access road to Glenmore pocket plant,riffle downstream of Carroll Creek Road,37.9787,-78.3781,4/9/2019,14.37625497,CRL01-20190409-1,203,5,2,0,1.477832512,94.58128079,96.55172414,5.950738916,0
CRL01,Carroll Creek in Glenmore,Albemarle,access road to Glenmore pocket plant,riffle downstream of Carroll Creek Road,37.9787,-78.3781,11/14/2019,46.9274491,CRL01-20191114-1,169,12,4,0,13.01775148,13.60946746,38.46153846,5.763313609,5.325443787
CXB02,Cunningham Creek @ 15,Fluvanna,"VSH 15, 0.5 mi south of Palmyra",riffle approx 100 yds downstream of VSH 15 overcrossing at old mill,37.85284688,-78.26996858,5/18/2019,62.03214381,CXB02-20190518-1,289,16,9,21.10726644,11.41868512,13.84083045,43.94463668,4.750865052,15.91695502
CXB02,Cunningham Creek @ 15,Fluvanna,"VSH 15, 0.5 mi south of Palmyra",riffle approx 100 yds downstream of VSH 15 overcrossing at old mill,37.85284688,-78.26996858,10/11/2019,76.40999537,CXB02-20191011-1,213,17,8,20.18779343,26.76056338,3.286384977,38.49765258,3.924882629,40.37558685
CYC01,Carys Creek @ 15,Fluvanna,,riffle immediately upstream of VSH 15 overcrossing,37.7984,-78.2399,4/30/2019,47.48336811,CYC01-20190430-1,460,12,8,25.43478261,6.304347826,23.91304348,67.82608696,5.184782609,0
CYC01,Carys Creek @ 15,Fluvanna,,riffle immediately upstream of VSH 15 overcrossing,37.7984,-78.2399,11/10/2019,65.16994634,CYC01-20191110-1,212,20,7,2.830188679,40.56603774,24.52830189,52.35849057,3.849056604,14.1509434
DOU02,Doyles River upper @ National Park Boundary,Albemarle,,riffles adjacent to Shenandoah Nat'l Prak boundary marker,,,5/3/2019,76.68188867,DOU02-20190503-1,300,16,11,77.66666667,7.333333333,9,64.66666667,3.953333333,46
DOU02,Doyles River upper @ National Park Boundary,Albemarle,,riffles adjacent to Shenandoah Nat'l Prak boundary marker,,,10/3/2019,75.46617373,DOU02-20191003-1,190,20,12,33.68421053,19.47368421,2.105263158,44.21052632,3.673684211,16.31578947
DOY01,Doyles River @ 674,Albemarle,VSH 674,riffles down and upstream of overcrossing,38.13538727,-78.6616768,4/24/2019,73.6337133,DOY01-20190424-1,238,19,11,57.14285714,6.722689076,6.302521008,53.78151261,4.197478992,23.1092437
FSH03,Fishing Creek west of Willwood Dr-B,Albemarle,about 400 feet us from retired site FSH02,,38.13535,-78.51955,5/6/2019,33.57628428,FSH03-20190506-1,364,13,4,8.516483516,0.274725275,31.31868132,80.49450549,6.678571429,6.593406593
FSH03,Fishing Creek west of Willwood Dr-B,Albemarle,about 400 feet us from retired site FSH02,,38.13535,-78.51955,10/4/2019,57.18900625,FSH03-20191004-1,219,11,4,51.59817352,0,5.936073059,71.23287671,5.365296804,42.92237443
IVC01,Ivy Creek @ 601,Albemarle,RT. 601 BRIDGE (ALBEMARLE COUNTY),riffles us of Rt 601 bridge,38.074244,-78.531851,4/29/2019,50.82783324,IVC01-20190429-1,195,16,9,17.43589744,6.666666667,37.43589744,53.33333333,5.379487179,3.58974359
IVC01,Ivy Creek @ 601,Albemarle,RT. 601 BRIDGE (ALBEMARLE COUNTY),riffles us of Rt 601 bridge,38.074244,-78.531851,10/26/2019,45.58379838,IVC01-20191026-1,332,13,5,11.74698795,6.024096386,2.108433735,82.22891566,5.430722892,17.1686747
IVC09,Ivy Creek in Rosemont,Albemarle,Near 3325 Rosedell Ln.,Riffles are 30-70 yards upstream from road crossing.,38.02859,-78.61441,4/17/2019,45.21577563,IVC09-20190417-1,334,17,8,2.994011976,14.67065868,61.07784431,73.65269461,4.880239521,6.886227545
IVC09,Ivy Creek in Rosemont,Albemarle,Near 3325 Rosedell Ln.,Riffles are 30-70 yards upstream from road crossing.,38.02859,-78.61441,10/21/2019,44.05858342,IVC09-20191021-1,245,13,5,1.224489796,1.224489796,3.265306122,75.91836735,5.306122449,21.63265306
IVC09,Ivy Creek in Rosemont,Albemarle,Near 3325 Rosedell Ln.,Riffles are 30-70 yards upstream from road crossing.,38.02859,-78.61441,12/6/2019,73.02731146,IVC09-20191206-1,210,20,10,17.14285714,21.9047619,24.76190476,37.14285714,4.157142857,31.42857143
LCH01,Lynch River @ 603,Albemarle,"VSH 603, northwestern Albemarle Co",riffle immediately ds of VSH 603 overcrossing,38.2248196,-78.52065763,3/30/2019,58.17833376,LCH01-20190330-1,312,17,9,45.51282051,3.525641026,25,62.5,4.858974359,8.974358974
