"ASSESS_REG","BASIN_CODE","Assessment Type","Sites for Review","Total Sites for Review"
"BRRO","2A","Riverine",8,50
"BRRO","2B","Not sure yet",1,50
"BRRO","2B","Riverine",5,50
"BRRO","4A","Not sure yet",4,50
"BRRO","4A","Riverine",24,50
"BRRO","9","Not sure yet",1,50
"BRRO","9","Riverine",7,50
"CO","7B","Estuarine",1,8
"CO","7B","Not sure yet",7,8
"NRO","1A","Not sure yet",3,30
"NRO","1A","Riverine",6,30
"NRO","3","Estuarine",1,30
"NRO","3","Not sure yet",1,30
"NRO","3","Riverine",10,30
"NRO","8","Lacustrine",6,30
"NRO","8","Riverine",3,30
"PRO","1A","Estuarine",6,138
"PRO","1A","Riverine",7,138
"PRO","2B","Riverine",19,138
"PRO","2C","Estuarine",2,138
"PRO","2C","Riverine",12,138
"PRO","2D","Estuarine",2,138
"PRO","2D","Lacustrine",1,138
"PRO","2D","Riverine",14,138
"PRO","3","Estuarine",8,138
"PRO","3","Riverine",4,138
"PRO","5A","Not sure yet",2,138
"PRO","5A","Riverine",30,138
"PRO","7A","Estuarine",10,138
"PRO","7A","Lacustrine",2,138
"PRO","7A","Not sure yet",2,138
"PRO","7A","Riverine",5,138
"PRO","8","Estuarine",5,138
"PRO","8","Riverine",7,138
"SWRO","4B","Riverine",1,66
"SWRO","6A","Not sure yet",1,66
"SWRO","6A","Riverine",11,66
"SWRO","6B","Not sure yet",4,66
"SWRO","6B","Riverine",19,66
"SWRO","6C","Riverine",15,66
"SWRO","9","Not sure yet",1,66
"SWRO","9","Riverine",14,66
"TRO","2C","Estuarine",10,74
"TRO","2C","Not sure yet",1,74
"TRO","2C","Riverine",2,74
"TRO","5A","Riverine",6,74
"TRO","5B","Estuarine",5,74
"TRO","5B","Not sure yet",2,74
"TRO","5B","Riverine",3,74
"TRO","7A","Estuarine",20,74
"TRO","7A","Lacustrine",2,74
"TRO","7A","Riverine",1,74
"TRO","7C","Estuarine",15,74
"TRO","7C","Not sure yet",1,74
"TRO","7C","Riverine",2,74
"TRO","8","Estuarine",3,74
"TRO","8","Not sure yet",1,74
"VRO","1A","Riverine",1,34
"VRO","1B","Riverine",10,34
"VRO","2A","Riverine",9,34
"VRO","2B","Not sure yet",1,34
"VRO","2B","Riverine",13,34
