"FDT_STA_ID","ID305B_1","ID305B_2","ID305B_3","STA_DESC"
"2-DNP024.01",NA,NA,NA,"Rt. 311 Bridge"
"2-DNP018.47",NA,NA,NA,"Rt. 159 Bridge north of Crows"
"2-JKS021.09",NA,NA,NA,"S.RAYON DRIVE BRIDGE, COVINGTON"
"2-JKS022.15",NA,NA,NA,"Industrial Park Behind Walmart"
"2-JKS022.78",NA,NA,NA,"FUDGE'S BRIDGE, RT. 154, COVINGTON"
"2AZAL002.11",NA,NA,NA,"At Nimrod Road Crossing, USFS"
"4ALWC000.67",NA,NA,NA,"Upstream of Rt 40"
"4ALNF006.42",NA,NA,NA,"Upstr of Fishburn Mt Rd, Rt. 756"
"4AXWL001.84",NA,NA,NA,"Off Turkeycock Lane"
"4ASCK003.10",NA,NA,NA,"Shockoe Ck @ Rte 895"
