"ASSESS_REG","basin","Assessment Type","Sites for Review","Total Sites for Review"
"BRRO","09","Riverine",13,60
"BRRO","2A","Riverine",9,60
"BRRO","2B","Riverine",6,60
"BRRO","4A","Lacustrine",4,60
"BRRO","4A","Riverine",26,60
"BRRO","4B","Riverine",2,60
"CO","7A","Estuarine",5,10
"CO","7B","Estuarine",5,10
"NRO","03","Riverine",22,45
"NRO","08","Lacustrine",6,45
"NRO","08","Riverine",5,45
"NRO","1A","Estuarine",2,45
"NRO","1A","Riverine",10,45
"PRO","03","Riverine",22,119
"PRO","08","Riverine",10,119
"PRO","1A","Estuarine",7,119
"PRO","1A","Riverine",5,119
"PRO","2B","Riverine",14,119
"PRO","2C","Estuarine",4,119
"PRO","2C","Riverine",13,119
"PRO","2D","Lacustrine",1,119
"PRO","2D","Riverine",9,119
"PRO","5A","Lacustrine",1,119
"PRO","5A","Riverine",27,119
"PRO","7A","Estuarine",3,119
"PRO","7A","Riverine",3,119
"SWRO","09","Riverine",14,86
"SWRO","4B","Riverine",1,86
"SWRO","6A","Riverine",13,86
"SWRO","6B","Riverine",34,86
"SWRO","6C","Riverine",24,86
"TRO","08","Lacustrine",4,356
"TRO","08","Riverine",3,356
"TRO","2C","Estuarine",72,356
"TRO","2C","Lacustrine",15,356
"TRO","2C","Riverine",1,356
"TRO","5A","Estuarine",19,356
"TRO","5A","Lacustrine",3,356
"TRO","5A","Riverine",37,356
"TRO","5B","Estuarine",29,356
"TRO","5B","Lacustrine",6,356
"TRO","5B","Riverine",3,356
"TRO","7A","Estuarine",63,356
"TRO","7A","Lacustrine",5,356
"TRO","7A","Riverine",16,356
"TRO","7C","Estuarine",64,356
"TRO","7C","Riverine",16,356
"VRO","1A","Riverine",8,115
"VRO","1B","Lacustrine",9,115
"VRO","1B","Riverine",43,115
"VRO","2A","Lacustrine",2,115
"VRO","2A","Riverine",20,115
"VRO","2B","Lacustrine",1,115
"VRO","2B","Riverine",32,115
NA,"09","Riverine",1,1
