"StationID","WQS_ID","Buffer Distance","Comments"
"9-WTK000.97","RL_09_040761",NA,NA
"9-BVR001.70","RL_09_048904",NA,NA
"9-BVR001.84","RL_09_048904",NA,NA
"9-LRV065.57","RL_09_051476",NA,NA
"9-HWL004.86","RL_09_045545",NA,NA
"9-LWF004.55","RL_09_050930",NA,NA
"9-DDD001.00","RL_09_050734",NA,NA
"9-XEM000.30","RL_09_047456",NA,NA
"9-BIC002.81","RL_09_048396",NA,NA
"9-LRV044.49","RL_09_050957",NA,NA
"9-NEW107.51","RL_09_040274",NA,NA
"9-BSH000.05","RL_09_049479",NA,NA
"9-MLC001.53","RL_09_048685",NA,NA
"9-LRV009.11","RL_09_048616",NA,NA
"9-LRV012.58","RL_09_048817",NA,NA
"9-LRV012.98","RL_09_048819",NA,NA
"9-BIC000.14","RL_09_048387",NA,NA
"9-LRV016.68","RL_09_048821",NA,NA
"9-BMK001.11","RL_09_040606","Manual Review | 40 m","Manual Accept | "
"9-LRV000.34","RL_09_048600","Manual Review | 20 m","Manual Accept | "
"9-PKC011.11","RL_09_040571","Manual Review | 60 m","Manual Accept | "
"9-PLK000.79","RL_09_040378","Manual Review | 20 m","Manual Accept | "
"9-PLK001.39","RL_09_040373","Manual Review | 20 m","Manual Accept | "
"9-TCK000.50","RL_09_040499","Manual Review | 20 m","Manual Accept | "
"9-PKC007.82","RL_09_040514","Manual Review | 20 m","Manual Accept | "
"9-PKC009.53","RL_09_040575","Manual Review | 20 m","Manual Accept | "
"9-PKC010.19","RL_09_040573","Manual Review | 40 m","Manual Accept | "
"9-VLY000.64","RL_09_040532","Manual Review | 20 m","Manual Accept | "
"9-XFQ000.77","RL_09_040557","Manual Review | 20 m","Manual Accept | "
