StationID,WQS_ID,Buffer Distance,Comments
9-EKC013.81,RL_09_028948,Manual Review | NA,Manual Accept | 
9-TKY001.55,RL_09_029665,Manual Review | NA,Manual Accept | 
9-CEF002.79,RL_09_034015,Manual Review | NA,Manual Accept | 
9-CST012.63,RL_09_034246,Manual Review | NA,Manual Accept | 
9-CST012.75,RL_09_034246,Manual Review | NA,Manual Accept | 
9-BHO017.71,RL_09_027008,Manual Review | NA,Manual Accept | Station in NC
9-LHC001.92,RL_09_027131,Manual Review | NA,Manual Accept | Station in NC
9-GRA003.36,RL_09_027164,Manual Review | NA,Manual Accept | Station in NC
9-BRL000.04,RL_09_028673,Manual Review | NA,Manual Accept | 
9-PBC008.61,RL_09_028951,Manual Review | NA,"Manual Accept | Correct Coordinates: 36.639147, -81.165273"
9-MIR000.28,RL_09_027374,Manual Review | NA,Manual Accept | 
9-ECM001.01,RL_09_029262,Manual Review | NA,Manual Accept | 
9-MCR000.20,RL_09_034249,Manual Review | NA,Manual Accept | 
9-CST016.82,RL_09_034218,Manual Review | NA,Manual Accept | 
9-CCR002.92,RL_09_034041,Manual Review | NA,Manual Accept | 
4BSTE007.99,RL_4B_035375,Manual Review | NA,Manual Accept | Station in NC
4BPAU007.19,RL_4B_035843,Manual Review | NA,Manual Accept | 
4BLOV007.92,RL_4B_035973,Manual Review | NA,Manual Accept | 
9-CRK020.79,RL_09_035767,Manual Review | NA,Manual Accept | 
9-CST005.73,RL_09_035039,Manual Review | NA,Manual Accept | 
9-CST002.64,RL_09_034882,Manual Review | NA,Manual Accept | 
9-LRI031.58,RL_09_036510,Manual Review | NA,Manual Accept | 
9-SKE000.98,RL_09_037143,Manual Review | NA,Manual Accept | 
9-RIC049.29,RL_09_043830,Manual Review | NA,Manual Accept | 
9-RIC051.80,RL_09_043776,Manual Review | NA,Manual Accept | 
9-LLK005.25,RL_09_044878,Manual Review | NA,Manual Accept | 
9-LLJK005.44,RL_09_044878,Manual Review | NA,Manual Accept | 
9-RIC029.23,RL_09_037158,Manual Review | NA,Manual Accept | 
9-ISL003.05,RL_09_037079,Manual Review | NA,Manual Accept | 
9-ISL002.30,RL_09_037063,Manual Review | NA,Manual Accept | 
9-LRI023.48,RL_09_036633,Manual Review | NA,Manual Accept | 
9-LRI020.76,RL_09_036899,Manual Review | NA,Manual Accept | 
9-RIC018.90,RL_09_037376,Manual Review | NA,Manual Accept | 
9-GSC000.03,RL_09_037253,Manual Review | NA,Manual Accept | 
9-NEW128.97,RL_09_035301,Manual Review | NA,Manual Accept | 
9-BRU003.59,RL_09_034873,Manual Review | NA,Manual Accept | 
9-CRK003.00,RL_09_035026,Manual Review | NA,Manual Accept | 
9-CRK015.69,RL_09_035762,Manual Review | NA,Manual Accept | 
9-RIC039.71,RL_09_044886,Manual Review | NA,Manual Accept | 
9-DEF000.34,RL_09_029632,Manual Review | NA,Manual Accept | 
9-CGG000.35,RL_09_029435,Manual Review | NA,Manual Accept | 
9-SPB000.10,RL_09_034581,Manual Review | NA,Manual Accept | 
9-NEW127.49,RL_09_035294,Manual Review | NA,Manual Accept | 
9-DEN000.39,RL_09_035120,Manual Review | NA,Manual Accept | 
9-DEN000.03,RL_09_035106,Manual Review | NA,Manual Accept | 
9-CPL003.10,RL_09_035295,Manual Review | NA,Manual Accept | 
9-NEW117.60,RL_09_035319,Manual Review | NA,Manual Accept | 
9-SRT000.12,RL_09_036733,Manual Review | NA,Manual Accept | 
9-LRI009.11,RL_09_036882,Manual Review | NA,Manual Accept | 
9-RDC009.00,RL_09_038375,Manual Review | NA,Manual Accept | 
9-SLK001.24,RL_09_037825,Manual Review | NA,Manual Accept | 
9-SFK003.38,RL_09_032097,Manual Review | NA,Manual Accept | 
9-SFK000.28,RL_09_031922,Manual Review | NA,Manual Accept | 
9-RDC023.24,RL_09_037679,Manual Review | NA,Manual Accept | 
9-MCE000.27,RL_09_031861,Manual Review | NA,Manual Accept | 
9-MCE000.37,RL_09_031861,Manual Review | NA,Manual Accept | 
9-RDC051.21,RL_09_031640,Manual Review | NA,Manual Accept | 
9-RDC048.97,RL_09_031602,Manual Review | NA,Manual Accept | 
9-RDC049.02,RL_09_031602,Manual Review | NA,Manual Accept | 
9-GLN000.13,RL_09_031782,Manual Review | NA,Manual Accept | 
9-NEW111.92,RL_09_040285,Manual Review | NA,Manual Accept | 
9-RDC000.79,RL_09_040122,Manual Review | NA,Manual Accept | 
9-RDC016.84,RL_09_038183,Manual Review | NA,Manual Accept | 
9-LRI001.62,RL_09_040291,Manual Review | NA,Manual Accept | 
9-RIC000.50,RL_09_040288,Manual Review | NA,Manual Accept | 
9-KBL001.67,RL_09_039637,Manual Review | NA,Manual Accept | 
9-KBL007.29,RL_09_039567,Manual Review | NA,Manual Accept | 
9-SDR000.02,RL_09_039713,Manual Review | NA,Manual Accept | 
9-NBS000.70,RL_09_039788,Manual Review | NA,Manual Accept | 
