StationID,WQS_ID,Buffer Distance,Comments
STATION000.00,RL_6B_011330,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
,,Manual Review | NA,Manual Accept | 
