"Group_Station_ID","Latitude","Longitude","STA_DESC"
"104",37.14778,-82.47301,"At Hughes Hollow road crossing"
"105",36.9718,-82.19122,"25 Feet from confluence with Dumps Creek"
"107",37.05525,-82.59985,"Intersection of Indian Creek and Cavenger Branch Rd"
"108",37.08153,-82.15102,"Near outfall of coal mine pond in Duty, VA"
"109",36.85361,-82.91798,"At Clydesdale Drive"
"10",37.5271,-77.5643,"Behind Bon Air Elementary School"
"10",36.617967,-79.415699,"At Beavers Mill Road Bridge"
"10",38.94694,-77.93806,"2256 Winchester Ridge; 5 meters downstream of driveway bridge"
"10",38.14833,-77.89278,"5 feet downstream of Days Bridge Road bridge"
"10",37.73765,-79.59243,"5 feet upstream of confluence with North Buffalo Creek"
"10",37.14,-76.38,"1 Crescent Point"
"10",37.2315,-82.2885,"On Barklick Road .4 miles west of Breaks Park Road"
"10",37.00031,-76.40276,"At culvert near end of Shell Road"
"11.1.",37.148,-76.397,"East side of Hunts Neck Road tidal stream"
"11.1",37.148,-76.397,"East side of Hunts Neck Road tidal stream"
"111",36.85556,-82.91918,"Intersection of Jordan Branch and state route 66"
"112",37.3565,-81.9355,"Just below confluence with Big Bull Branch"
"114",37.0545,-81.98334,"25 feet west from the confluence with FlatRock Creek"
"115",37.07338,-81.99505,"25 feet north from confluence with Grassy Creek"
"116",37.08575,-81.99892,"At nortnern interseton of Old Drill and Drill roads"
"117",37.08276,-81.99719,"At Old Drill Road in Russell, VA"
"119",36.96802,-82.29514,"1 Feet south from intersection of Bunch Town Rd and VA-63"
"11",37.5142,-77.5493,"North of culvert under Poplar Hollow Trail"
"11",36.654258,-79.430689,"At Ridgecrest Drive Bridge"
"11",38.13889,-77.895,"Pamunkey Creek arm of Lake Anna"
"11",37.091566,-79.4039,"Leesville Lake Dam"
"11",37.09157,-79.4039,"Leesville Lake Dam"
"11",37.73904,-79.57709,"Route 612 at Palmer Community Center"
"11",37.22964,-82.27464,"On Breaks Park Road .6 mile east of Bartlick Road"
"11",37.01352,-76.42579,"At Roanoke Avneue"
"121",37.08521,-82.51335,"At Blue Jay Road at Dickenson and Wise County line at reclaimed strip mine"
