"","FDT_STA_ID","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_SPG_CODE","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu6","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","HUC12","Portion","MAP.x","ASSESS_REG","OFFICE_NM","States","HUType","HUMod","ToHUC","META_ID","Location","VaName","PC_Water","Tidal","VAHUSB","FedName","HUC10","VAHU5","Basin","BASIN_NAME","BASIN_CODE","SUBBASIN","ID305B_1","ID305B_2","ID305B_3","DEPTH","REGION","STA_TYPE1","STA_TYPE2","STA_TYPE3","DD_LAT","DD_LONG","WATERSHED","VAHU6","n","Buffer Distance"
"1","4AGRT003.82","GREAT CREEK, RT. 619 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002","RB","03010106","Roanoke Rapids","Great Creek-Lake Gaston","RL-F","030101060302","Roanoke River/Lake Gaston-Great Creek","RL18","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA01","Partial","Roanoke River/Lake Gaston-Great Creek",13,"N","RL","Great Creek-Lake Gaston","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L80R_GRT01A00",NA,NA,"S","BRRO","A","TM","B",36.59305555,-78.09083333,"L80","RL18",1,NA
"2","4AROA000.00","LAKE GASTON, STA. #5 STATE LINE MECKLENB","Piedmont","PRO",0.3,"S",50,"000002","RL","03010106","Roanoke Rapids","Great Creek-Lake Gaston","RL-F","030101060302","Roanoke River/Lake Gaston-Great Creek","RL18","RESERV","Station sample at reservoir, man-made body of water","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA01","Partial","Roanoke River/Lake Gaston-Great Creek",13,"N","RL","Great Creek-Lake Gaston","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L80L_ROA08A04",NA,NA,"S,M,B","BRRO","L",NA,NA,36.55055556,-78.04972222,"L80","RL18",1,NA
"3","4AROA004.54","LAKE GASTON, OFF POINT (MECKLENBURG COUN","Piedmont","PRO",0.3,"S",50,"000002","RL","03010106","Roanoke Rapids","Great Creek-Lake Gaston","RL-F","030101060302","Roanoke River/Lake Gaston-Great Creek","RL18","RESERV","Station sample at reservoir, man-made body of water","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA01","Partial","Roanoke River/Lake Gaston-Great Creek",13,"N","RL","Great Creek-Lake Gaston","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L80L_ROA08A04",NA,NA,"S,M,B","BRRO","L","C","SS",36.54972222,-78.1175,"L80","RL18",2,NA
"4","4AROA004.54","LAKE GASTON, OFF POINT (MECKLENBURG COUN","Piedmont","PRO",0.3,"S",50,"000002","RL","03010106","Roanoke Rapids","Great Creek-Lake Gaston","RL-F","030101060302","Roanoke River/Lake Gaston-Great Creek","RL18","RESERV","Station sample at reservoir, man-made body of water","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA01","Partial","Roanoke River/Lake Gaston-Great Creek",13,"N","RL","Great Creek-Lake Gaston","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L78R_ROA06A98",NA,NA,"S","BRRO","C",NA,NA,36.54972222,-78.1175,"L78","RL18",2,NA
"5","4ALPP004.46","Little Poplar at Dr. Purdy Road","Piedmont",NA,0.3,"S",50,"000002","PA","03010106","Roanoke Rapids","Poplar Creek","RL-F","030101060304","Poplar Creek","RL20","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060304","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA05","Partial","Poplar Creek",2,"N","RL","Poplar Creek","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L81R_LPP01A16",NA,NA,"S","BRRO","PA","B",NA,36.60024167,-77.99693889,"L81","RL20",1,NA
"6","4ALPP004.52","Little Poplar East of 659","Piedmont","SCRO",0.3,"S",50,"000002","FP","03010106","Roanoke Rapids","Poplar Creek","RL-F","030101060304","Poplar Creek","RL20","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,"030101060304","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA05","Partial","Poplar Creek",2,"N","RL","Poplar Creek","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L81R_LPP01A16",NA,NA,"S","BRRO","FPM","B",NA,36.6142,-77.9771,"L81","RL20",1,NA
"7","4APOB006.35","POPLAR CREEK, RT. 611 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002","RB","03010106","Roanoke Rapids","Poplar Creek","RL-F","030101060304","Poplar Creek","RL20","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060304","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060305","VA05","Partial","Poplar Creek",2,"N","RL","Poplar Creek","0301010603","RL-F","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L81R_POB01A00",NA,NA,"S","BRRO","A","B",NA,36.60972222,-78.03555555,"L81","RL20",1,NA
"8","4ADAN053.40","Bridge located at Danville STP","Blue Ridge","SCRO",0.3,"S",50,"000002","AW","03010104","Lower Dan","Pumpkin Creek-Dan River","RD-I","030101040102","Dan River-Pumpkin Creek","RD39","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040102","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040109","VA04","Partial","Dan River-Pumpkin Creek",2,"N","RD","Pumpkin Creek-Dan River","0301010401","RD-I","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L60R_DAN03A02","VAW-L60R_DAN02A00","VAW-L60R_DAN04A06","S","BRRO","A",NA,NA,36.5627,-79.3696,"L60","RD39",1,NA
"9","4APKP002.46","Pumpkin Cr. at College park rd","Blue Ridge","SCRO",0.3,"S",50,"000002","RB","03010104","Lower Dan","Pumpkin Creek-Dan River","RD-I","030101040102","Dan River-Pumpkin Creek","RD39","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040102","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040109","VA04","Partial","Dan River-Pumpkin Creek",2,"N","RD","Pumpkin Creek-Dan River","0301010401","RD-I","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L60R_PKP01A06",NA,NA,"S","BRRO","B",NA,NA,36.55706111,-79.40601945,"L60","RD39",1,NA
"10","4ARUT000.45","Rutledge Cr @ Edmunds St, Danville","Blue Ridge","SCRO",0.3,"S",50,"000002","RB","03010104","Lower Dan","Pumpkin Creek-Dan River","RD-I","030101040102","Dan River-Pumpkin Creek","RD39","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,"030101040102","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040109","VA04","Partial","Dan River-Pumpkin Creek",2,"N","RD","Pumpkin Creek-Dan River","0301010401","RD-I","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L60R_RUT01A12",NA,NA,"S","BRRO","FPM","B",NA,36.55644445,-79.41636111,"L60","RD39",1,NA
