FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_DIGESTION_DATE,FSS_PCB_204_REC,FSS_WATER_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,PCB204Recov,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_PEAKHRI,TSR_HRIID
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.223000004887581,,5103-74-2,,HALE,,,,0.223000004887581,0.236604779958725,,,0.223000004887581,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.223000004887581,5103-74-2,5103-74-2,HALE,1998-02-03T00:00:00Z,0.223000004887581,0.236604779958725,,,0.223000004887581,,2823
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.266999989748001,,,,HALE,,,,0.266999989748001,0.283289134502411,,,0.266999989748001,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.266999989748001,38380-01-7,,HALE,1998-02-03T00:00:00Z,0.266999989748001,0.283289134502411,,,0.266999989748001,,2882
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.189999997615814,,,,HALE,,,,0.189999997615814,0.20159150660038,,,0.189999997615814,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.189999997615814,39765-80-5,,HALE,1998-02-03T00:00:00Z,0.189999997615814,0.20159150660038,,,0.189999997615814,,2902
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.458999991416931,,72-55-9,,HALE,,,,0.458999991416931,0.487002640962601,,,0.458999991416931,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.458999991416931,72-55-9,72-55-9,HALE,1998-02-03T00:00:00Z,0.458999991416931,0.487002640962601,,,0.458999991416931,,2966
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.232999995350838,,75-54-8,,HALE,,,,0.232999995350838,0.24721485376358,,,0.232999995350838,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.232999995350838,75-54-8,75-54-8,HALE,1998-02-03T00:00:00Z,0.232999995350838,0.24721485376358,,,0.232999995350838,,3112
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.237000003457069,,50-29-3,,HALE,,,,0.237000003457069,0.251458883285522,,,0.237000003457069,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.237000003457069,50-29-3,50-29-3,HALE,1998-02-03T00:00:00Z,0.237000003457069,0.251458883285522,,,0.237000003457069,,3242
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.254000008106232,,,,HALE,,,,0.254000008106232,0.269496023654938,,,0.254000008106232,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.254000008106232,2051-24-3,,HALE,1998-02-03T00:00:00Z,0.254000008106232,0.269496023654938,,,0.254000008106232,,4000
V97S001,1997-08-06T00:00:00Z,4ADAN053.12,,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-08-08T00:00:00Z,,,,,,,,,,,,,,,,,,0.362355041503906,,1998-02-03T00:00:00Z,1,0.828000009059906,,3268-87-9,,HALE,,,,0.828000009059906,0.878514587879181,,,0.828000009059906,,,1997-08-06T00:00:00Z,4ADAN053.12,1997-08-07T00:00:00Z,1997-08-08T00:00:00Z,S,R,1,V97S001,1997-08-08T00:00:00Z,1997-10-05T00:00:00Z,0,0.362355041503906,1998-02-03T00:00:00Z,1,0,0.828000009059906,3268-87-9,3268-87-9,HALE,1998-02-03T00:00:00Z,0.828000009059906,0.878514587879181,,,0.828000009059906,,4342
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.140000000596046,,5103-71-9,,HALE,,,,0.140000000596046,0.18080846965313,,,0.140000000596046,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.140000000596046,5103-71-9,5103-71-9,HALE,1998-03-18T00:00:00Z,0.140000000596046,0.18080846965313,,,0.140000000596046,,2882
V97S002,1997-09-18T00:00:00Z,4ASRE011.08,,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,,,,,,,,,,,,S,,R,1,,1997-09-20T00:00:00Z,,,,,,,,,,,,,,,,,,0.316724224090576,,1998-03-18T00:00:00Z,1,0.138999998569489,,,,HALE,,,,0.138999998569489,0.179516986012459,,,0.138999998569489,,,1997-09-18T00:00:00Z,4ASRE011.08,1997-09-19T00:00:00Z,1997-09-20T00:00:00Z,S,R,1,V97S002,1997-09-20T00:00:00Z,1997-11-17T00:00:00Z,0,0.316724224090576,1998-03-18T00:00:00Z,1,0,0.138999998569489,39765-80-5,,HALE,1998-03-18T00:00:00Z,0.138999998569489,0.179516986012459,,,0.138999998569489,,2902
