FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_DIGESTION_DATE,FSS_WATER_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,4.243,,91-20-3,,HALE,,,,4.243,5.3502389239,,2.39690709114075,4.243,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,4.243,91-20-3,91-20-3,HALE,,4.243,5.3502389239,,2.39690709114075,4.243
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,4.527,,91-57-6,,HALE,,,,4.527,5.708350603,,2.5573410987854,4.527,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,4.527,91-57-6,91-57-6,HALE,,4.527,5.708350603,,2.5573410987854,4.527
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,2.015,,90-12-0,,HALE,,,,2.015,2.5408275823,,1.13829076290131,2.015,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,2.015,90-12-0,90-12-0,HALE,,2.015,2.5408275823,,1.13829076290131,2.015
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,1.814,,92-52-4,,HALE,,,,1.814,2.2873753024,,1.02474415302277,1.814,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,1.814,92-52-4,92-52-4,HALE,,1.814,2.2873753024,,1.02474415302277,1.814
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,5.258,,,,HALE,,,,5.258,6.6301098896,,2.97028923034668,5.258,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,5.258,581-42-0,,HALE,,5.258,6.6301098896,,2.97028923034668,5.258
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,1.104,,208-96-8,,HALE,,,,1.104,1.3920961046,,0.623659074306488,1.104,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,1.104,208-96-8,208-96-8,HALE,,1.104,1.3920961046,,0.623659074306488,1.104
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,1.418,,83-32-9,,HALE,,,,1.418,1.7880364822,,0.801040351390839,1.418,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,1.418,83-32-9,83-32-9,HALE,,1.418,1.7880364822,,0.801040351390839,1.418
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,0.856,,2245-38-7,,HALE,,,,0.856,1.0793788637,,0.483561724424362,0.856,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,0.856,2245-38-7,2245-38-7,HALE,,0.856,1.0793788637,,0.483561724424362,0.856
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,6.323,,86-73-7,,HALE,,,,6.323,7.9730286862,,3.57191681861877,6.323,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,6.323,86-73-7,86-73-7,HALE,,6.323,7.9730286862,,3.57191681861877,6.323
V98S001,,ASW003.36,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.551654663085937,,,1,11.551,,85-01-8,,HALE,,,,11.551,14.565309877,,6.52525901794434,11.551,,,,ASW003.36,,,S,R,1,V98S001,,,,0.551654663085937,,1,11.551,85-01-8,85-01-8,HALE,,11.551,14.565309877,,6.52525901794434,11.551
