FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_DIGESTION_DATE,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_UNCORR_DRY
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,1.576896,,7429-90-5,,RICE,,,,1.576896,,,,1.576896,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,1.576896,7429-90-5,7429-90-5,RICE,2003-01-16T00:00:00Z,1.576896,1.576896
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,1.079244,,7440-22-4,,RICE,,,,1.079244,,,,1.079244,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,1.079244,7440-22-4,7440-22-4,RICE,2003-01-16T00:00:00Z,1.079244,1.079244
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,16.06875,,7440-38-2,,RICE,,,,16.06875,,,,16.06875,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,16.06875,7440-38-2,7440-38-2,RICE,2003-01-16T00:00:00Z,16.06875,16.06875
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,0.189867,,7440-43-9,,RICE,,,,0.189867,,,,0.189867,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,0.189867,7440-43-9,7440-43-9,RICE,2003-01-16T00:00:00Z,0.189867,0.189867
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,31.89767,,7440-47-3,,RICE,,,,31.89767,,,,31.89767,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,31.89767,7440-47-3,7440-47-3,RICE,2003-01-16T00:00:00Z,31.89767,31.89767
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,20.28579,,7440-50-8,,RICE,,,,20.28579,,,,20.28579,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,20.28579,7440-50-8,7440-50-8,RICE,2003-01-16T00:00:00Z,20.28579,20.28579
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,0.129909,,7439-97-6,,RICE,,,,0.129909,,,,0.129909,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,0.129909,7439-97-6,7439-97-6,RICE,2003-01-16T00:00:00Z,0.129909,0.129909
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,9.793144,,7440-02-0,,RICE,,,,9.793144,,,,9.793144,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,9.793144,7440-02-0,7440-02-0,RICE,2003-01-16T00:00:00Z,9.793144,9.793144
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,22.08454,,7439-92-1,,RICE,,,,22.08454,,,,22.08454,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,22.08454,7439-92-1,7439-92-1,RICE,2003-01-16T00:00:00Z,22.08454,22.08454
V2TM001,2002-07-17T00:00:00Z,2-STR000.28,,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,,,,,,,,,,,,,,R,1,,,,,,,,,,,,,,,,,,,,,,2003-01-16T00:00:00Z,1,0.5,,7440-36-0,,RICE,,,,0.5,,,,0.5,,,2002-07-17T00:00:00Z,2-STR000.28,2002-07-18T00:00:00Z,2002-07-19T00:00:00Z,R,1,V2TM001,2002-09-15T00:00:00Z,2003-01-16T00:00:00Z,1,0.5,7440-36-0,7440-36-0,RICE,2003-01-16T00:00:00Z,0.5,0.5
