VIMS_ID,DEQ_Site,Description,DEQ_ID,Date,Latitude,Longitude,Total_PCB_ppb,Year,,,,,,
19PS003,22,Pamunkey River at Rt. 360 near Old Church,8-PMK056.87,6/12/2019,37.684567,-77.183033,0.000,2019,,,,,,
19PS002,24,"Pamunkey River near Hill Marsh, North",8-PMK011.64,6/11/2019,37.582683,-76.852467,0.000,2019,,,,,,
19PS001,28,Mattaponi River near Rt. 629 at Walkerton,8-MPN029.08,5/31/2019,37.705383,-77.024483,0.000,2019,,,,,,
19PS015,29,"Mattaponi River near end of Rt. 602, Melrose Landing",8-MPN014.33,7/17/2019,37.636167,-76.856850,1.035,2019,,,,,,
19PS013,30,York River near West Point at Buoy 59,8-YRK031.48,7/3/2019,37.512217,-76.793050,0.000,2019,,,,,,
19PS022,31,York River near Claybank,8-YRK016.57,8/14/2019,37.356217,-76.636783,0.000,2019,,,,,,
19PS014,34,York River near Rt. 17 bridge,8-YRK005.93,7/11/2019,37.247417,-76.507417,0.000,2019,,,,,,
19PS021,32,Queen Creek near York River,8-QEN002.47,8/8/2019,37.298167,-76.651067,0.000,2019,,,,,,
19PS024,33,King Creek,8-KNG001.36,8/7/2019,37.276117,-76.599083,8.569,2019,,,,,,
19PS007,35,Wormley Creek,8-WOR000.35,6/13/2019,37.211600,-76.469217,0.000,2019,,,,,,
19PS023,18,"Great Wicomico River ~.5 mile downstream from end of Rt. 707, i.e. Off Cedar Point.
",7-GWR007.97,8/13/2019,37.868133,-76.404800,0.000,2019,,,,,,
19PS016,19,Cockrell Creek,7-COC000.40,7/29/2019,37.821683,-76.281550,0.939,2019,,,,,,
19PS017,20,Indian Creek,7-IND001.80,7/30/2019,37.698583,-76.350983,0.000,2019,,,,,,
19PS012,15,Piankatank River near Anderson Point,7-PNK015.49,6/27/2019,37.547900,-76.509000,0.000,2019,,,,,,
19PS010,12,East River,7-EST002.65,6/20/2019,37.401417,-76.346467,0.000,2019,,,,,,
19PS011,14,Ware River near the end of Rt. 621 (Gloucester Co),7-WAR005.77,6/25/2019,37.401017,-76.489817,0.000,2019,,,,,,
19PS008,7,Chisman Creek,7-CHS000.84,6/17/2019,37.183417,-76.416350,0.000,2019,,,,,,
19PS006,8,Poquoson River,7-POQ002.11,6/11/2019,37.136333,-76.433150,0.951,2019,,,,,,
19PS019,10,Northwest Branch Back River,7-NWB000.69,8/5/2019,37.099817,-76.348100,0.000,2019,,,,,,
19PS009,11,Southwest Branch Back River,7-SWB001.91,6/19/2019,37.070817,-76.349300,13.359,2019,,,,,,
19PS020,9,Tabb Creek,7-TBC000.60,8/6/2019,37.100183,-76.366900,495.074,2019,,,,,,
19PS005,1,Little Creek Channel near Rt. 60 Bridge,7-LCC001.10,6/6/2019,36.924950,-76.192200,0.000,2019,,,,,,
19PS005D,1,Little Creek Channel near Rt. 60 Bridge,7-LCC001.10,6/6/2019,36.924950,-76.192200,0.000,2019,,,,,,
19PS004,2,Linkhorn Bay ,7-LKN002.77,6/5/2019,36.867850,-76.012517,1.048,2019,,,,,,
19PS018,3,Eastern Branch Lynnhaven River,7-EBL002.54,8/1/2019,36.877133,-76.065583,0.000,2019,,,,,,
18PS001,3,Rapidan River near Rt. 610 bridge,3-RAP006.49,8/15/2018 12:00,38.359117,-77.687767,0.000,2018,,,,,,
18PS001D,3,Rapidan River near Rt. 610 bridge,3-RAP006.49,8/15/2018 12:00,38.359117,-77.687767,0.000,2018,,,,,,
18PS002,5,Rappahannock River below Fredericksburg,3-RPP107.33,5/30/2018 11:15,38.283017,-77.442283,0.000,2018,,,,,,
18PS006,9,Rappahannock River near Hopyard Bar,3-RPP091.55,5/31/2018 10:55,38.246083,-77.233233,0.000,2018,,,,,,
18PS003,6,Rappahannock River near Rt. 301 bridge,3-RPP080.19,6/5/2018 11:30,38.174833,-77.189100,1.089,2018,,,,,,
18PS004,7,Rappahannock River near Devils Elbow near Bouy 52,3-RPP070.00,6/7/2018 11:15,38.142483,-77.078800,0.000,2018,,,,,,
18PS005,8,Rappahannock River near Rt. 622 Carters Wharf,3-RPP056.20,6/11/2018 12:00,38.071750,-76.926617,0.000,2018,,,,,,
18PS009,14,Rappahannock River near Jones Point,3-RPP042.12,6/20/2018 13:00,37.920117,-76.821633,0.000,2018,,,,,,
18PS011,17,Rappahannock River near Tarpley Point,3-RPP029.40,6/19/2018 13:00,37.782300,-76.650567,0.000,2018,,,,,,
18PS023,21,Rappahannock River near Rt. 3 bridge,3-RPP008.42,8/13/2018 14:00,37.615067,-76.432900,0.000,2018,,,,,,
