"","FDT_STA_ID","ID305B_1"
"1","6BPWR000.13","VAS-P13R_PWR01A02"
"2","9-CCR002.92","VAS-N06R_CCR01A02"
"3","6BSTT001.76","VAS-P24R_STT01A14"
"4","9-FXC017.18","VAS-N03R_FXC01B02"
"5","6CWLF004.10","VAS-O06R_WLF03A06"
"6","6CBMC004.95","VAS-O14R_BMC03A00"
"7","9-LLK005.25","VAS-N13R_LLK01A04"
"8","9-LLK005.44","VAS-N13R_LLK01A04"
"9","6CGRW000.09","VAS-O05R_GRW01A02"
"10","6CGRW002.31","VAS-O05R_GRW01A02"
"11","6BPOW136.26","VAS-P21R_POW02A02"
"12","6BCOP000.02","VAS-P14R_COP01A02"
"13","6BWAL008.96","VAS-P22R_WAL03A02"
"14","6BCLN223.40","VAS-P13R_CLN02A02"
"15","6BGSY000.25","VAS-P14R_GSY01A10"
"16","6BSTO000.10","VAS-P13R_STO01A00"
"17","6BSNK001.03","VAS-P09R_SNK01A00"
"18","6BLSR000.37","VAS-P09R_LSR01A02"
"19","6BSUT000.44","VAS-P09R_SUT01A02"
"20","6BSNY000.23","VAS-P12R_SNY01A04"
"21","6BSNY005.68","VAS-P12R_SNY01A00"
"22","6BRUS000.38","VAS-P09R_RUS01A06"
"23","6BBUY000.01","VAS-P20R_BUY01A12"
"24","6CNIK000.06","VAS-O03R_NIK01A02"
"25","6BEKG010.34","VAS-P06R_EKG01A10"
"26","6CLIB013.09","VAS-O09R_LIB02A00"
"27","6CNFH098.96","VAS-O09R_NFH01A98"
"28","6BIDN003.15","VAS-P05R_IDN02A10"
"29","6BCLN276.97","VAS-P07R_CLN01A00"
"30","6BMFC000.00","VAS-P08R_DUM01A94"
"31","6BWEA000.04","VAS-P07R_WEA01A06"
"32","6ACRC000.19","VAS-Q11R_CRC01A14"
"33","6AWAK000.04","VAS-Q11R_WAK01A14"
"34","6AIAC002.23","VAS-Q13R_IAC01A10"
"35","6ACNT000.31","VAS-Q04R_CNT01A10"
"36","6AWBB000.01","VAS-Q04R_WBB01A12"
"37","9-HCC007.83","VAS-N31R_HCC01A00"
"38","6BCAV004.60","VAS-P01L_CAV01A10"
"39","6APNR019.09","VAS-Q13R_PNR02B02"
"40","9-NBS003.08","VAS-N26R_NBS01B04"
"41","6BIDI008.73","VAS-P02R_IDI02A04"
"42","6ADIS007.27","VAS-Q05R_DIS01B02"
"43","6AXGN000.02","VAS-Q12R_XGN01A12"
