StationID,WQS_ID,Buffer Distance,Comments
1AGAM003.50,RL_1A_309955,Manual Review | 20 m,Manual Accept |
1AGAM003.50,RL_1A_312325,Manual Review | 20 m,"Manual Accept | the WQS should be Class III, Sec 1a - added to GIS error log"
1AGAM003.83,RL_1A_309955,Manual Review | 40 m,Manual Accept |
1AGAM003.83,RL_1A_312315,Manual Review | 40 m,"Manual Accept | the WQS should be Class III, Sec 1a - added to GIS error log"
1AXAQ000.85,RL_1A_246346,Manual Review | 40 m,Manual Accept |
1AXAQ000.85,RL_1A_246477,Manual Review | 40 m,Manual Accept |
2-JTH006.53,RL_2B_113069,Manual Review | 20 m,Manual Accept |
2-JTH006.53,RL_2B_112703,Manual Review | 20 m,Manual Accept |
3-LAM000.57,RL_03_306688,Manual Review | 20 m,Manual Accept |
3-LAM000.57,RL_03_306701,Manual Review | 20 m,Manual Accept |
3-LAM000.57,RL_03_306724,Manual Review | 20 m,Manual Accept |
3-LAM000.57,RL_03_306745,Manual Review | 20 m,Manual Accept |
3-MTR010.60,RL_03_215262,Manual Review | 40 m,Manual Accept |
3-MTR010.60,RL_03_215291,Manual Review | 40 m,Manual Accept |
3-MTR010.60,RL_03_215303,Manual Review | 40 m,Manual Accept |
5ASTO006.99,RL_5A_252499,Manual Review | 20 m,Manual Accept |
5ASTO006.99,RL_5A_252875,Manual Review | 20 m,Manual Accept |
8-XDW000.67,RL_08_278950,Manual Review | No connections within 80 m,Manual Accept |
8-XDW000.67,RL_08_278756,Manual Review | NA,Manual Accept |
8-XDW000.67,RL_08_278950,Manual Review | No connections within 80 m,Manual Accept |
