"STATION_ID","ID305B_1","ID305B_2","ID305B_3","ID305B_4","ID305B_5","ID305B_6","ID305B_7","ID305B_8","ID305B_9","ID305B_10","WATER_TYPE","SALINITY","LACUSTRINE","REGION","TYPE_1","TYPE_2","TYPE_3","TYPE_4","TYPE_5","TYPE_6","TYPE_7","TYPE_8","TYPE_9","TYPE_10","LATITUDE","LONGITUDE","WATERSHED","VAHU6","TEMP_EXC","TEMP_SAMP","TEMP_STAT","DO_EXC","DO_SAMP","DO_STAT","PH_EXC","PH_SAMP","PH_STAT","ECOLI_EXC","ECOLI_SAMP","ECOLI_GM_EXC","ECOLI_GM_SAMP","ECOLI_STAT","ENTER_EXC","ENTER_SAMP","ENTER_GM_EXC","ENTER_GM_SAMP","ENTER_STAT","AMMONIA_EXC","AMMONIA_STAT","WAT_MET_EXC","WAT_MET_STAT","WAT_TOX_EXC","WAT_TOX_STAT","SED_MET_EXC","SED_MET_STAT","SED_TOX_EXC","SED_TOX_STAT","FISH_MET_EXC","FISH_MET_STAT","FISH_TOX_EXC","FISH_TOX_STAT","BENTHIC_STAT","BENTHIC_WOE_CAT","BIBI_SCORE","NUT_TP_EXC","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_EXC","NUT_CHLA_SAMP","NUT_CHLA_STAT","COMMENTS","WQS_ID","Buffer Distance","Comments","GNIS_ID","GNIS_Name","FType","FCode","WATER_NAME","BASIN","WQS_COMMEN","SEC","CLASS","SPSTDS","Basin_Code","PWS","Edit_Date","Tier_III","Backlog","ZONE","SECTION_DESCRIPTION","created_user","created_date","last_edited_user","last_edited_date","Shape_Length","Shape_Area","WQS_COMMENT","Trout","StreamType","Lakes_187B"
"1AACO018.48","VAN-A15R_ACO02A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TM",NA,NA,NA,NA,NA,NA,NA,NA,38.84613889,-77.23775,"A15R","PL30",0,1,"W",0,1,"W",0,1,"W",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,"IN",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WAT","RL_1A_315930","Manual Review | 20 m","Manual Accept |","01478094","Accotink Creek",460,46006,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,453.675264620413,NA,NA,NA,"Perennial",NA
"1AACO021.28","VAN-A15R_ACO04A02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TM",NA,NA,NA,NA,NA,NA,NA,NA,38.861454,-77.270246,"A15R","PL30",0,1,"W",0,1,"W",0,1,"W",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,"IN",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WAT","RL_1A_315899","Manual Review | 40 m","Manual Accept |","01478094","Accotink Creek",460,46006,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,796.869552488999,NA,NA,NA,"Perennial",NA
"1ABED002.97","VAN-A27R_BED01A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.50694444,-77.4275,"A27R","PL55",0,8,"S",0,8,"S",0,8,"S",0,8,NA,NA,"S",0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_310556","Manual Review | 20 m","Manual Accept |","01462972","Beaverdam Run",460,46006,"Beaverdam Run","1A",NA,"4b","III","PWS, b","Potomac-Lower","Yes",NA,NA,NA,NA,"Aquia Creek from the Aquia Sanitary District Water Impoundment, and other tributaries into the impoundment, including Beaverdam Run and the Lunga Reservoir upstream to their headwaters.",NA,NA,NA,NA,688.849366597455,NA,NA,NA,"Perennial",NA
"1ABEE000.40","VAN-A08L_BEE01A08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","NRO","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.02416667,-77.54055556,"A08L","PL14",0,99,"S",2,66,"S",0,66,"S",1,10,NA,NA,"S",0,0,NA,NA,NA,NA,NA,0,NA,0,"S",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,1,"IN","Beaverdam Creek Reservoir, lacustrine: Chla IN 2015 (complete monitoring year, S), 2016 (incomplete monitoring year, IN) (TP not assess, no algaecide application). (Not assessed for TP, algaecides not applied). Non-nutrient data pooled DO (2/65) S, Temp","LP_1A_034564","Manual Review | NA","Manual Accept |","01490251","Beaverdam Reservoir",390,39009,"Beaverdam Reservoir","1A",NA,"9","III","","Potomac-Lower",NA,NA,NA,NA,NA,"Broad Run, Sugarland Run, Difficult Run, Tuscarora Creek, Sycolin Creek, and other streams tributary to streams in Section 8 from a point 5 miles above their confluence with the Potomac River to their headwaters, unless otherwise designated in this chapter.",NA,NA,NA,NA,11608.9147868795,1218453.88737658,NA,NA,NA,"y"
"1ABEE001.40","VAN-A08L_BEE01A08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.01027778,-77.53677778,"A08L","PL14",0,31,"S",0,18,"S",0,18,"S",1,5,NA,NA,"IN",0,0,NA,NA,NA,NA,NA,0,NA,0,"S",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"Beaverdam Creek Reservoir, non-lacustrine. Non-nutrient data pooled DO (2/65) S, Temp (0/99) S, pH (0/65) S, Wat_Tox (0/15) S., E. Coli (1/10) S.","LP_1A_034564","Manual Review | NA","Manual Accept |","01490251","Beaverdam Reservoir",390,39009,"Beaverdam Reservoir","1A",NA,"9","III","","Potomac-Lower",NA,NA,NA,NA,NA,"Broad Run, Sugarland Run, Difficult Run, Tuscarora Creek, Sycolin Creek, and other streams tributary to streams in Section 8 from a point 5 miles above their confluence with the Potomac River to their headwaters, unless otherwise designated in this chapter.",NA,NA,NA,NA,11608.9147868795,1218453.88737658,NA,NA,NA,"y"
"1ABIR000.76","VAN-A22R_BIR01A02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","B","TM",NA,NA,NA,NA,NA,NA,NA,38.83638889,-77.45,"A22R","PL45",0,7,"S",0,7,"S",0,7,"S",3,6,NA,NA,"IM",0,0,NA,NA,NA,NA,NA,0,NA,0,"S",0,NA,0,NA,0,NA,0,NA,"IM",NA,NA,0,0,NA,0,0,NA,"WAT TOX:Cl,NH3","RL_1A_315345","Manual Review | 40 m","Manual Accept |","01463398","Big Rocky Run",460,46006,"Big Rocky Run","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,489.822461256953,NA,NA,NA,"Perennial",NA
"1ABUL025.94","VAN-A21R_BUL02A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","B","TR",NA,NA,NA,NA,NA,NA,NA,38.88944444,-77.57055556,"A21R","PL42",0,39,"S",0,38,"S",0,38,"S",8,34,NA,NA,"IM",15,24,NA,NA,"NA",NA,NA,0,NA,0,"S",0,NA,0,NA,0,NA,0,NA,"IM",NA,NA,0,0,NA,0,0,NA,"WAT","RL_1A_242216","Manual Review | 40 m","Manual Accept |","01464073","Bull Run",558,55800,"Bull Run","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,716.694102699255,NA,NA,NA,"Artificial Path",NA
"1ACAA001.18","VAN-A21R_CAA01A02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.83033333,-77.59780555,"A21R","PL43",0,12,"S",0,11,"S",0,11,"S",2,12,NA,NA,"IM",0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"2016 BENTHIC IM carryover","RL_1A_241998","Manual Review | 20 m","Manual Accept |","01464540","Catharpin Creek",460,46006,"Catharpin Creek","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,1074.11203631626,NA,NA,NA,"Perennial",NA
"1AACO004.84","VAN-A15R_ACO01A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TM",NA,NA,NA,NA,NA,NA,NA,NA,38.7205,-77.19072222,"A15R","PL30",0,10,"S",0,10,"S",1,10,"S",3,8,NA,NA,"IM",0,0,NA,NA,NA,NA,NA,0,NA,2,"IM",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WAT","RL_1A_317432","Manual Review | 20 m","Manual Accept |","01478094","Accotink Creek",558,55800,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,1103.57002053505,NA,NA,NA,"Artificial Path",NA
"1AACO006.10","VAN-A15R_ACO01A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TM","SS",NA,NA,NA,NA,NA,NA,NA,38.72861111,-77.20333333,"A15R","PL30",0,13,"S",0,13,"S",0,12,"S",6,12,NA,NA,"IM",0,0,NA,NA,NA,NA,NA,0,NA,1,"O",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WAT; 2014 BENTHIC IM carryover","RL_1A_317428","Manual Review | 40 m","Manual Accept |",NA,NA,460,46003,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,358.09220547843,NA,NA,NA,"Intermittent",NA
