STATION_ID,ID305B_1,ID305B_2,ID305B_3,ID305B_4,ID305B_5,ID305B_6,ID305B_7,ID305B_8,ID305B_9,ID305B_10,WATER_TYPE,SALINITY,LACUSTRINE,REGION,TYPE_1,TYPE_2,TYPE_3,TYPE_4,TYPE_5,TYPE_6,TYPE_7,TYPE_8,TYPE_9,TYPE_10,LATITUDE,LONGITUDE,WATERSHED,VAHU6,TEMP_EXC,TEMP_SAMP,TEMP_STAT,DO_EXC,DO_SAMP,DO_STAT,PH_EXC,PH_SAMP,PH_STAT,ECOLI_EXC,ECOLI_SAMP,ECOLI_GM_EXC,ECOLI_GM_SAMP,ECOLI_STAT,ENTER_EXC,ENTER_SAMP,ENTER_GM_EXC,ENTER_GM_SAMP,ENTER_STAT,AMMONIA_EXC,AMMONIA_STAT,WAT_MET_EXC,WAT_MET_STAT,WAT_TOX_EXC,WAT_TOX_STAT,SED_MET_EXC,SED_MET_STAT,SED_TOX_EXC,SED_TOX_STAT,FISH_MET_EXC,FISH_MET_STAT,FISH_TOX_EXC,FISH_TOX_STAT,BENTHIC_STAT,BENTHIC_WOE_CAT,BIBI_SCORE,NUT_TP_EXC,NUT_TP_SAMP,NUT_TP_STAT,NUT_CHLA_EXC,NUT_CHLA_SAMP,NUT_CHLA_STAT,COMMENTS,2020 IR COMMENTS,2018 IR COMMENTS
1AACO018.48,VAN-A15R_ACO02A00,,,,,,,,,,,,,NRO,A,TM,,,,,,,,,38.84613889,-77.23775,A15R,PL30,0,1,Review,0,1,Review,0,1,Review,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: NA | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WAT TOX:Cl,WTOX: Cl=Ins
1AACO021.28,VAN-A15R_ACO04A02,,,,,,,,,,,,,NRO,A,TM,,,,,,,,,38.861454,-77.270246,A15R,PL30,0,21,S,0,21,S,0,21,S,11,20,2,2,IM,,,,,,,,,,,,,,,,,,,,,,,,21,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Impaired- geomean exceedance in any 90-day period. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WAT TOX:Cl,WTOX: Cl=Ins
1ABED000.19,VAN-A27L_AUA01A02,VAN-A27L_BED01A02,,,,,,,,,,,,NRO,L,,,,,,,,,,38.49244444,-77.40375,A27L,PL55,0,62,S,0,22,S,0,22,S,0,5,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Smith Lake (Aquia Reservoir), non-lacustrine. Non-nutrient data pooled DO (3/43) S, Temp (0/216) S, pH (0/48) S, Wat_Tox (0/23) S., E. coli (0/14) S.","Smith Lake (Aquia Reservoir), non-lacustrine: Non-nutrient data pooled. DO (0/66) S, Temp (0/329), pH (0/66)"
1ABED002.97,VAN-A27R_BED01A00,,,,,,,,,,,,,NRO,A,,,,,,,,,,38.50694444,-77.4275,A27R,PL55,0,8,S,0,8,S,0,8,S,0,8,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,8,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,,
1ABEE000.40,VAN-A08L_BEE01A08,,,,,,,,,,,,Y,NRO,L,,,,,,,,,,39.02416667,-77.54055556,A08L,PL14,0,99,S,2,66,Review,0,66,S,1,11,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,1,IN,,1,IN, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Beaverdam Creek Reservoir, lacustrine: Chla IN 2015 (complete monitoring year, S), 2016 (incomplete monitoring year, IN) (TP not assess, no algaecide application). (Not assessed for TP, algaecides not applied). Non-nutrient data pooled DO (2/65) S, Temp (0/99) S, pH (0/65) S, Wat_Tox (0/15) S., E. Coli (1/10) S.","Beaverdam Reservoir, lacustrine: Chla IN 2015 (complete monitoring year, S), 2016 (incomplete monitoring year, IN) (TP not assess, no algaecide application).  Non-nutrient data pooled. DO (2/84) S, Temp (0/130) S, pH (0/84) S"
1ABEE001.40,VAN-A08L_BEE01A08,,,,,,,,,,,,,NRO,L,,,,,,,,,,39.01027778,-77.53677778,A08L,PL14,0,31,S,0,18,S,0,18,S,1,5,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Beaverdam Creek Reservoir, non-lacustrine. Non-nutrient data pooled DO (2/65) S, Temp (0/99) S, pH (0/65) S, Wat_Tox (0/15) S., E. Coli (1/10) S.","Beaverdam Reservoir, non-lacustrine. Non-nutrient data pooled. DO (2/84) S, Temp (0/130) S, pH (0/84) S"
1ABIR000.76,VAN-A22R_BIR01A02,,,,,,,,,,,,,NRO,A,B,TM,,,,,,,,38.83638889,-77.45,A22R,PL45,0,12,S,0,12,S,0,12,S,3,8,0,0,IM,,,,,,0,S,,Review,,,,,,,,,,,Review,,,,8,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Impaired- 2 or more STV hits in the same 90-day period with < 10 samples. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"WAT TOX:Cl,NH3",
1ABUL025.94,VAN-A21R_BUL02A00,,,,,,,,,,,,,NRO,A,B,TR,,,,,,,,38.88944444,-77.57055556,A21R,PL42,0,59,S,0,57,S,0,58,S,12,55,3,5,IM,,,,,,,,,,,,,,,,,,,,Review,,,,55,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Impaired- geomean exceedance in any 90-day period. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WAT TOX:Cl,Trends Analysis: Degrading (SC)
1ACAA001.18,VAN-A21R_CAA01A02,,,,,,,,,,,,,NRO,A,,,,,,,,,,38.83033333,-77.59780555,A21R,PL43,0,32,S,0,31,S,0,31,S,3,28,0,0,IN,,,,,,0,S,,Review,,,,,,,,,,,Review,,,,28,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,2016 BENTHIC IM carryover,
1ACAA007.34,VAN-A21R_CAA02A08,,,,,,,,,,,,,NRO,B,,,,,,,,,,38.87025,-77.684,A21R,PL43,,21,,,21,,,21,,2,16,0,0,IN,,,,,,0,S,,Review,,,,,,,,,,,Review,,,,16,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,2018 use support carryover (aquatic life),
1AACO004.84,VAN-A15R_ACO01A00,,,,,,,,,,,,,NRO,A,TM,,,,,,,,,38.7205,-77.19072222,A15R,PL30,0,10,S,0,10,S,1,10,Review,3,8,0,0,IM,,,,,,,,,,,,,,,,,,,,,,,,10,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Impaired- 2 or more STV hits in the same 90-day period with < 10 samples. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WAT TOX:Cl,WTOX: Cl=IM (2 chronic exceed)
1AACO006.10,VAN-A15R_ACO01A00,,,,,,,,,,,,,NRO,A,TM,SS,,,,,,,,38.72861111,-77.20333333,A15R,PL30,0,13,S,0,13,S,0,12,S,6,12,0,0,IM,,,,,,,,,,,,,,,,,,,,,,,,13,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Impaired- 2 or more STV hits in the same 90-day period with < 10 samples. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WAT TOX:Cl; 2014 BENTHIC IM carryover,WTOX: Cl=INS
1AACO011.27,VAN-A15R_ACO01B10,,,,,,,,,,,,,NRO,B,TM,,,,,,,,,38.780119,-77.209189,A15R,PL30,0,1,Review,0,1,Review,0,1,Review,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Review,,,,0,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: NA | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,,
1AACO014.57,VAN-A15R_ACO02A00,VAN-A15R_ACO03A02,VAN-A15R_ACO04A02,,,,,,,,,,,NRO,A,B,"TR,TM",,,,,,,,38.81111111,-77.23055556,A15R,PL30,0,141,S,0,141,S,0,139,S,35,135,21,21,IM,,,,,,0,S,,,,,,,,,,,,,Review,,,,140,,,0,,DO_Daily_Avg_STAT: S | E.coli Comment: Impaired- geomean exceedance in any 90-day period. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"WAT TOX:Cl=IM (4 acute,2 chronic); NH3=S","includes USGS (VA) sampling; WTOX: NH3=S(0/48), Cl=IM(2 chronic exceed; 3 acute exceed); co-located with 1AACO-1654000-MD; Trends Analysis Degrading (SC), Improving (TN)"
1AAUA012.15,VAN-A27L_AUA01A02,VAN-A27L_BED01A02,,,,,,,,,,,Y,NRO,L,,,,,,,,,,38.48777778,-77.40055556,A27L,PL56,0,69,S,2,26,Review,0,26,S,0,6,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,1,IN,,1,IN, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Smith Lake (Aquia Reservoir), lacustrine: Chla FS 2013, 2014; (algaecides applied 2013, 2014) TP FS 2013, 2014. Non-nutrient data pooled DO (3/43) S, Temp (0/216) S, pH (0/48) S, Wat_Tox (0/23) S., E. coli (0/14) S.","Smith Lake (Aquia Reservoir), lacustrine: Chla & TP FS 2013, 2014 (algaecides applied).  Non-nutrient data pooled. DO (0/66) S, Temp (0/329), pH (0/66)"
1AAUA012.55,VAN-A27L_AUA01A02,VAN-A27L_BED01A02,,,,,,,,,,,,NRO,L,,,,,,,,,,38.48830556,-77.40713889,A27L,PL56,0,65,S,0,23,S,0,23,S,1,5,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Smith Lake (Aquia Reservoir), non-lacustrine. Non-nutrient data pooled DO (3/43) S, Temp (0/216) S, pH (0/48) S, Wat_Tox (0/23) S., E. coli (0/14) S.","Smith Lake (Aquia Reservoir), non-lacustrine: Non-nutrient data pooled. DO (0/66) S, Temp (0/329), pH (0/66)"
1AAUA014.51,VAN-A27R_AUA01A00,,,,,,,,,,,,,NRO,A,TR,,,,,,,,,38.49083333,-77.43444444,A27R,PL56,0,36,S,0,35,S,0,36,S,6,35,0,0,IN,,,,,,,,,,,Review,,,,,,,,,,,,,35,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,"WAT TOX:nitrate,sulfate,Cl","Trends Analysis: Degrading (Temp,SC), Improving (DO,pH,TSS,Turb)"
1ABAR032.10,VAV-B07R_BAR01A00,VAV-B07R_BAR02A10,,,,,,,,,,,,VRO,A,,,,,,,,,,39.35663889,-78.18769444,B07R,PU15,0,1,Review,0,1,Review,0,1,Review,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: NA | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH
1ABAR037.84,VAV-B07R_BAR02A10,,,,,,,,,,,,,VRO,PA,,,,,,,,,,39.32063889,-78.20939444,B07R,PU13,0,16,S,0,16,S,0,16,S,2,13,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,13,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH
1ABAR038.57,VAV-B07R_BAR02A10,,,,,,,,,,,,,VRO,B,FPM,,,,,,,,,39.31795,-78.21787778,B07R,PU13,0,2,S,0,2,S,0,2,S,1,2,0,0,IN,,,,,,0,S,,Review,,,,,,,,,,,Review,,,,2,,,1,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH. Regional Biologist needs more data for assessment. Not assessed.,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH. Regional Biologist needs more data for assessment. Not assessed.
1ABAR046.01,VAV-B05R_BAR02A04,VAV-B05R_BAR03A10,,,,,,,,,,,,VRO,B,,,,,,,,,,39.2683333,-78.31416,B05R,PU10,,1,,,1,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Review,,,,0,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: NA | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH.  FS VSCI 2020: 62.3,WQS - Basin 1A: Section 11: Class IV: Special Standards: pH
