STATION_ID,ID305B_1,ID305B_2,ID305B_3,ID305B_4,ID305B_5,ID305B_6,ID305B_7,ID305B_8,ID305B_9,ID305B_10,WATER_TYPE,SALINITY,LACUSTRINE,REGION,TYPE_1,TYPE_2,TYPE_3,TYPE_4,TYPE_5,TYPE_6,TYPE_7,TYPE_8,TYPE_9,TYPE_10,LATITUDE,LONGITUDE,WATERSHED,VAHU6,TEMP_EXC,TEMP_SAMP,TEMP_STAT,DO_EXC,DO_SAMP,DO_STAT,PH_EXC,PH_SAMP,PH_STAT,ECOLI_EXC,ECOLI_SAMP,ECOLI_GM_EXC,ECOLI_GM_SAMP,ECOLI_STAT,ENTER_EXC,ENTER_SAMP,ENTER_GM_EXC,ENTER_GM_SAMP,ENTER_STAT,AMMONIA_EXC,AMMONIA_STAT,WAT_MET_EXC,WAT_MET_STAT,WAT_TOX_EXC,WAT_TOX_STAT,SED_MET_EXC,SED_MET_STAT,SED_TOX_EXC,SED_TOX_STAT,FISH_MET_EXC,FISH_MET_STAT,FISH_TOX_EXC,FISH_TOX_STAT,BENTHIC_STAT,BENTHIC_WOE_CAT,BIBI_SCORE,NUT_TP_EXC,NUT_TP_SAMP,NUT_TP_STAT,NUT_CHLA_EXC,NUT_CHLA_SAMP,NUT_CHLA_STAT,COMMENTS,2020 IR COMMENTS,2018 IR COMMENTS
2-CRG001.20,VAW-I22R_CRG01A00,VAW-I22R_CRG02A00,,,,,,,,,,,,BRRO,A,TR,C,,,,,,,,37.64888889,-79.83138889,I22,JU50,0,34,S,0,34,S,0,34,S,1,32,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,32,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,"2020 Cycle: Water column PCB samples find no exceedances of the 640 pg/L WQS at 246.89 pg/L (WW, 2/8/2018) and 125.47 pg/L (WW, 9/17/2018. 2016 IR was the initial 303(d) Listing for bacteria exceedances (2/11). Outside Data Window:  
There were no additional data collected beyond the 2010 IR until the 2016 assessment.





2010 assessment data shows Full Support with 'Observed Effect' for Abnormal fish lesions reported in this area from Lemons Branch downstream to Craig Creek mouth on the James River.  Also 'Observed Effect' from previous sediment collections (See below).
 Bacteria FC Full Support 1/19 2006 IR; Full Support Carried forward thru 2008 IR- w/No additional data.  Additional field/chem data with 2010 IR.  Sediment exceeds nickel (Ni) PEC SV of 48.6 ppm from collections made in1998-2000:  AQ 2000 at 66.8; 1999 at 70.4 ppm and 1998 at 95 ppm- 'OE'.  AQ 1998 Sediment exceeds nickel (Ni) PEC SV of 48.6 ppm at 95 ppm and zinc (Zn) PEC SV of 459 ppm at 630 ppm- 'OE'.






Stream Flow Total measurements 15.  Daily Mean Flow; 02018000 Craig Creek - Parr < 7Q10 of 31 cfs @ gage on 8/12/02 (29 cfs).  One Fully Supporting field measurement set excluded from the dataset.","2018 Cycle:  2016 IR was the initial 303(d) Listing for bacteria exceedances (2/11). Outside Data Window:  There were no additional data collected beyond the 2010 IR until the 2016 assessment.
2010 assessment data shows Full Support with 'Observed Effect' for Abnormal fish lesions reported in this area from Lemons Branch downstream to Craig Creek mouth on the James River.  Also 'Observed Effect' from previous sediment collections (See below). Bacteria FC Full Support 1/19 2006 IR; Full Support Carried forward thru 2008 IR- w/No additional data.  Additional field/chem data with 2010 IR.  Sediment exceeds nickel (Ni) PEC SV of 48.6 ppm from collections made in 1998-2000:  AQ 2000 at  66.8; 1999 at 70.4 ppm and 1998 at 95 ppm- 'OE'.  AQ 1998 Sediment exceeds nickel (Ni) PEC SV of 48.6 ppm at 95 ppm and zinc (Zn) PEC SV of 459 ppm at 630 ppm- 'OE'.  

Stream Flow Total measurements 15.  Daily Mean Flow; 02018000 Craig Creek - Parr < 7Q10 of 31 cfs @ gage on 8/12/02 (29 cfs).  One Fully Supporting field measurement set excluded from the dataset."
2-CRG014.92,VAW-I22R_CRG02B10,,,,,,,,,,,,,BRRO,FPM,B,PA,,,,,,,,37.6438,-79.9216,I22,JU48,0,1,Review,0,2,S,0,1,Review,0,1,0,0,IN,,,,,,0,S,,Review,,,,,,,,,,,Review,,,,1,,,1,,DO_Daily_Avg_STAT: S | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,2018/2020 Cycle: A 2015 Probabilistic station. One sampling event.,2018 Cycle: A 2015 Probabilistic station. One sampling event.
2-CRG016.90,VAW-I22R_CRG03A14,VAW-I22R_CRG02B10,,,,,,,,,,,,BRRO,PA,,,,,,,,,,37.64663889,-79.94880556,I22,JU48,0,11,S,0,11,S,0,11,S,1,11,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,11,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,2018/2020 Cycle:  2016 initial Listing of bacteria with 2/11 E.coli exceedances. 2014 and 2016 Probabilistic Ambient station.,2016/2018 Cycle:  2016 initial Listing of bacteria with 2/11 E.coli exceedances. 2014 and 2016 Probabilistic Ambient station.
2-CRG026.85,VAW-I22R_CRG04A14,,,,,,,,,,,,,BRRO,PA,,,,,,,,,,37.61763889,-79.9895,I22,JU48,0,12,S,0,12,S,0,12,S,0,12,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,12,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,2018/2020 Cycle: 2016 Probabilistic Ambient station.,2018 Cycle: 2016 Probabilistic Ambient station.
4AROA004.54,VAW-L80L_ROA08A04,,,,,,,,,,,,,BRRO,L,C,SS,,,,,,,,36.54972222,-78.1175,L80,RL18,0,328,S,16,288,Review,0,288,S,0,52,0,0,IN,,,,,,0,S,,,,,,,,,,Review,,Review,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Lake Gaston, (Virginia portion) DEQ Data Summary: TEMP: 0/428; DO: 31/315; PH: 1/315; ECOLI: 0/63; TP: 0/6; CHLA: 0/6 .2018 FT Hg species, PCBs 2 species
2020 Cycle: Exceedance of the Mercury (Hg) WQS based tissue value (TV) of 0.3 ppm and the VDH screening value of 0.5 ppm is found in one species from 2018 collections; Largemouth Bass (5 Fish) at 0.52ppm.  2018 PCB collections: five species analyzed for PCB - one species exceeds the WQS TV of 20 ppb; Channel Catfish (4 fish composite[50.0-57.8 cm]) at 59.61 ppb.  The remaining species are; Largemouth Bass (5 fish composite [40.8-46.3 cm]) at 14.03 ppb; Redear Sunfish (7 fish composite [25.8-29.3 cm]) at 0.00 ppb; Bluegill Sunfish (9 fish [16.6-19.5 cm]) at 4.95 ppb; and Yellow Perch (8 fish composite [22.5-28.5 cm]) at 0.00 ppb.","2012/2014/2016 Lake Gaston Not in Lacustrine Zone Pooled DO data: 1/85- 2006 FT/Sediment Hg species, PCBs 2 species"
4AROA004.54,VAW-L80L_ROA08A04,,,,,,,,,,,,,BRRO,L,C,SS,,,,,,,,36.54972222,-78.1175,L80,RL18,0,328,S,16,288,Review,0,288,S,0,52,0,0,IN,,,,,,0,S,,,,,,,,,,Review,,Review,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Lake Gaston, (Virginia portion) DEQ Data Summary: TEMP: 0/428; DO: 31/315; PH: 1/315; ECOLI: 0/63; TP: 0/6; CHLA: 0/6 .2018 FT Hg species, PCBs 2 species
2020 Cycle: Exceedance of the Mercury (Hg) WQS based tissue value (TV) of 0.3 ppm and the VDH screening value of 0.5 ppm is found in one species from 2018 collections; Largemouth Bass (5 Fish) at 0.52ppm.  2018 PCB collections: five species analyzed for PCB - one species exceeds the WQS TV of 20 ppb; Channel Catfish (4 fish composite[50.0-57.8 cm]) at 59.61 ppb.  The remaining species are; Largemouth Bass (5 fish composite [40.8-46.3 cm]) at 14.03 ppb; Redear Sunfish (7 fish composite [25.8-29.3 cm]) at 0.00 ppb; Bluegill Sunfish (9 fish [16.6-19.5 cm]) at 4.95 ppb; and Yellow Perch (8 fish composite [22.5-28.5 cm]) at 0.00 ppb.","2012/2014/2016 Lake Gaston Not in Lacustrine Zone Pooled DO data: 1/85- 2006 FT/Sediment Hg species, PCBs 2 species"
4AROA008.66,VAW-L79L_ROA07A98,,,,,,,,,,,,,BRRO,L,,,,,,,,,,36.58833333,-78.16277778,L79,RL14,0,184,S,31,179,10.5% Exceedance,0,179,S,0,26,0,0,IN,,,,,,0,S,,,,,,,,,,,,,,,,,,,,,, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Lake Gaston, (Virginia portion) DEQ Data Summary: TEMP: 0/428; DO: 31/315; PH: 1/315; ECOLI: 0/63; TP: 0/6; CHLA: 0/6","2010/2012/2014 Lake GastonNot in Lacustrine ZonePooled DO data: 1/ 85"
4AROA012.08,VAW-L78R_ROA06A98,,,,,,,,,,,,,BRRO,A,TR,,,,,,,,,36.60638889,-78.20944445,L78,RL12,0,35,S,1,35,Review,0,35,S,1,34,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- One STV exceedance in one or multiple 90-day periods but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,2020 Cycle: Trend station.,2012/2014/2016 Lake Gaston Pooled DO data: 1/85
4AROA018.36,VAW-L75L_ROA05L98,,,,,,,,,,,,Y,BRRO,L,SS,C,,,,,,,,36.59416667,-78.30111111,L75,RL09,0,662,S,146,399,10.5% Exceedance,0,399,S,0,25,0,0,IN,,,,,,0,S,,,,,,,,,,Review,,Review,,,,0,2,S,0,2,S, | E.coli Comment: Insufficient Information (Prioritize for follow up monitoring)- No STV exceedances but insufficient data to analyze geomean. | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no acute exceedances. Dataset contains no chronic exceedances. Dataset contains no four-day exceedances.,"Kerr Reservoir, Virginia portion (Buggs Island Lake) DEQ Data Summary: TEMP: 12/2620; DO: 161/1542; PH: 7/1648; ECOLI: 8/203; TP: 9/19; CHLA: 1/17 ., 2017 FT, 1 species.",2012/2014/2016 Kerr Reservoir Pooled DO Data: 63/741
2BJMS255.91,VAW-H03R_JMS01A00,,,,,,,,,,,,,BRRO,TM,C,,,,,,,,,37.4051,-79.1012,H03,JM11,0,2,S,0,2,S,0,2,S,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,DO_Daily_Avg_STAT: NA | E.coli Comment: NA | Enterococci Comment: NA | AMMONIA Comment: Dataset contains no Ammonia data. ,2020 Cycle: PCB TMDL station. One 'FS' water col. WW PCB sample 608.9 pg/L (9/17/18).,
