STATION_ID,ID305B_1,ID305B_2,ID305B_3,ID305B_4,ID305B_5,ID305B_6,ID305B_7,ID305B_8,ID305B_9,ID305B_10,WATER_TYPE,SALINITY,LACUSTRINE,REGION,TYPE_1,TYPE_2,TYPE_3,TYPE_4,TYPE_5,TYPE_6,TYPE_7,TYPE_8,TYPE_9,TYPE_10,LATITUDE,LONGITUDE,WATERSHED,VAHU6,TEMP_EXC,TEMP_SAMP,TEMP_STAT,DO_EXC,DO_SAMP,DO_STAT,PH_EXC,PH_SAMP,PH_STAT,ECOLI_EXC,ECOLI_SAMP,ECOLI_GM_EXC,ECOLI_GM_SAMP,ECOLI_STAT,ENTER_EXC,ENTER_SAMP,ENTER_GM_EXC,ENTER_GM_SAMP,ENTER_STAT,AMMONIA_EXC,AMMONIA_STAT,WAT_MET_EXC,WAT_MET_STAT,WAT_TOX_EXC,WAT_TOX_STAT,SED_MET_EXC,SED_MET_STAT,SED_TOX_EXC,SED_TOX_STAT,FISH_MET_EXC,FISH_MET_STAT,FISH_TOX_EXC,FISH_TOX_STAT,BENTHIC_STAT,BENTHIC_WOE_CAT,BIBI_SCORE,NUT_TP_EXC,NUT_TP_SAMP,NUT_TP_STAT,NUT_CHLA_EXC,NUT_CHLA_SAMP,NUT_CHLA_STAT,COMMENTS
2-CRG001.20,VAW-I22R_CRG01A00,VAW-I22R_CRG02A00,,,,,,,,,,,,BRRO,A,TR,C,,,,,,,,37.64888889,-79.83138889,I22,JU50,0,26,S,0,26,S,0,26,S,1,24,0,0,IN,4,17,0,0,IN,,,,,,,,,,,,,,,,,,0,24,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 1 STV hit in one or multiple 90-day periods but insufficient data to analyze geomean. | ENTEROCOCCI Comment: Insufficient Information (Prioritize for follow up monitoring)- 1 STV hit in one or multiple 90-day periods but insufficient data to analyze geomean.
2-CRG014.92,VAW-I22R_CRG02B10,,,,,,,,,,,,,BRRO,FPM,B,PA,,,,,,,,37.6438,-79.9216,I22,JU48,0,1,S,0,1,S,0,1,S,0,1,0,0,IN,0,1,0,0,IN,,,0,S,,,,,,,,,,,Review,,,0,1,,,1,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean. | ENTEROCOCCI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean.
2-CRG016.90,VAW-I22R_CRG03A14,VAW-I22R_CRG02B10,,,,,,,,,,,,BRRO,PA,,,,,,,,,,37.64663889,-79.94880556,I22,JU48,0,11,S,0,11,S,0,11,S,1,11,0,0,IN,0,0,0,0,,,,,,,,,,,,,,,,,,,0,11,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 1 STV hit in one or multiple 90-day periods but insufficient data to analyze geomean. | ENTEROCOCCI Comment: NA
2-CRG026.85,VAW-I22R_CRG04999,,,,,,,,,,,,,BRRO,PA,,,,,,,,,,37.61763889,-79.9895,I22,JU48,0,12,S,0,12,S,0,12,S,0,12,0,0,IN,0,0,0,0,,,,,,,,,,,,,,,,,,,0,12,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean. | ENTEROCOCCI Comment: NA
4AROA012.08,VAW-L78R_ROA06A98,,,,,,,,,,,,,BRRO,A,TR,,,,,,,,,36.60638889,-78.20944445,L78,RL12,0,24,S,0,24,S,0,24,S,0,23,0,0,IN,4,18,0,0,IM,,,,,,,,,,,,,,,,,,0,24,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean. | ENTEROCOCCI Comment: Impaired- 2 or more STV hits in the same 90-day period with < 10 samples.
2BJMS255.91,VAW-H03R_JMS01A00,,,,,,,,,,,,,BRRO,TM,C,,,,,,,,,37.4051,-79.1012,H03,JM11,0,1,S,0,1,S,0,1,S,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,,,0,,ECOLI Comment: NA | ENTEROCOCCI Comment: NA
2BJMS263.24,VAW-H03R_JMS04A02,,,,,,,,,,,,,BRRO,TM,C,,,,,,,,,37.453917,-79.179361,H03,JM07,0,3,S,0,3,S,0,3,S,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,,,0,,ECOLI Comment: NA | ENTEROCOCCI Comment: NA
2-FAS000.20,VAW-I04R_FAS01A00,,,,,,,,,,,,,BRRO,B,A,SS,,,,,,,,37.88777778,-79.97916667,I04,JU10,0,1,S,0,1,S,0,1,S,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,Review,,,,0,,,0,,ECOLI Comment: NA | ENTEROCOCCI Comment: NA
2-FAS001.08,VAW-I04R_FAS01A00,,,,,,,,,,,,,BRRO,B,A,SS,,,,,,,,37.88400833,-79.96574722,I04,JU10,0,7,S,0,7,S,0,7,S,0,6,0,0,IN,0,0,0,0,,,,,,,,,,,,,,,,Review,,,0,6,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean. | ENTEROCOCCI Comment: NA
2-JKS036.11,VAW-I04R_JKS04A00,,,,,,,,,,,,,BRRO,TM,PA,B,,,,,,,,37.87638889,-79.9775,I04,JU10,0,15,S,0,15,S,0,14,S,0,12,0,0,IN,0,0,0,0,,,,,,,,,,,,,,,,Review,,,0,12,,,0,,ECOLI Comment: Insufficient Information (Prioritize for follow up monitoring)- 0 STV hits but insufficient data to analyze geomean. | ENTEROCOCCI Comment: NA
