MAP,BASIN_NAME,BASIN_CODE,SUBBASIN,ASSESS_REG,VAHU6_NOTE,SubbasinVAHU6code
new,New River,9,NA,BRRO,"NE42-NE65,NE71-NE75,NE81-NE85,NE89-NE90",NE
jamesu,James River,2A,James River - Upper,BRRO,"JU08,JU10-JU22,JU24,JU36-JU58",JU
jamesm,James River,2B,James River - Middle,BRRO,"JM01-JM20,JM28-JM31",JM
jamesm,James River,2D,Appomattox River,BRRO,NOT IN THIS REGION,
roanok,Roanoke River,4A,Roanoke River,BRRO,RD01-RD77,RD
roanok,Roanoke River,4A,Roanoke River,BRRO,RL01-RL2,RL
roanok,Roanoke River,4A,Roanoke River,BRRO,RU01-RU94,RU
roanok,Roanoke River,4B,Yadkin River,BRRO,YA03-YA04,YA
chowds,Chowan River/Dismal Swamp,5A,Chowan River,BRRO,NOT IN THIS REGION,
rapp,Rappahannock River,3,NA,CO,NOT IN THIS REGION,
york,York River,8,NA,CO,NOT IN THIS REGION,
jamesl,James River,2C,James River - Lower,CO,NOT IN THIS REGION,
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7A,Chesapeake Bay Tributaries,CO,NOT IN THIS REGION,
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7B,Chesapeake Bay - Mainstem,CO,"CB20,CB27-CB29,CB37,CB40,CB47",CB
rapp,Rappahannock River,3,NA,NRO,RA01-RA52,RA
york,York River,8,NA,NRO,"YO01-YO09,YO12-YO22,YO24,YO38-YO56",YO
potlow,Potomac River,1A,Potomac River,NRO,PL01-PL64,PL
shen,Shenandoah River,1B,Shenandoah River,NRO,NOT IN THIS REGION,
jamesm,James River,2B,James River - Middle,NRO,NOT IN THIS REGION,
rapp,Rappahannock River,3,NA,PRO,RA53-RA74,RA
york,York River,8,NA,PRO,"YO10-YO11,YO23,YO25-YO37,YO57-YO61",YO
potlow,Potomac River,1A,Potomac River,PRO,PL65-PL74,PL
jamesm,James River,2B,James River - Middle,PRO,"JM51-JM57,JM59-JM86",JM
jamesl,James River,2C,James River - Lower,PRO,"JL01-JL30,JL32",JL
jamesm,James River,2D,Appomattox River,PRO,JA01-JA45,JA
roanok,Roanoke River,4A,Roanoke River,PRO,NOT IN THIS REGION,
chowds,Chowan River/Dismal Swamp,5A,Chowan River,PRO,CM01-CM28,CM
chowds,Chowan River/Dismal Swamp,5A,Chowan River,PRO,"CU01-CU39,CU44-CU46,CU52-CU58",CU
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7A,Chesapeake Bay Tributaries,PRO,CB01-CB19,CB
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7B,Chesapeake Bay - Mainstem,PRO,NOT IN THIS REGION,
new,New River,9,NA,SWRO,"NE01-NE41,NE66-NE70,NE76-NE80,NE86-NE88",NE
roanok,Roanoke River,4A,Roanoke River,SWRO,NOT IN THIS REGION,
roanok,Roanoke River,4B,Yadkin River,SWRO,"YA01-YA02,YA05-YA07",YA
tennbs,Tennessee and Big Sandy Rivers,6A,Big Sandy River,SWRO,BS01-BS35,BS
tennbs,Tennessee and Big Sandy Rivers,6B,Clinch and Powell Rivers,SWRO,TC01-TC35,TC
tennbs,Tennessee and Big Sandy Rivers,6B,Clinch and Powell Rivers,SWRO,TP01-TP19,TP
tennbs,Tennessee and Big Sandy Rivers,6C,Holston River,SWRO,TH01-TH46,TH
york,York River,8,NA,TRO,YO62-YO69,YO
jamesl,James River,2C,James River - Lower,TRO,"JL31,JL33-JL59",JL
chowds,Chowan River/Dismal Swamp,5A,Chowan River,TRO,CL01-CL05,CL
chowds,Chowan River/Dismal Swamp,5A,Chowan River,TRO,"CU40-CU43,CU47-CU51,CU59-CU70",CU
chowds,Chowan River/Dismal Swamp,5B,Dismal Swamp/Albemarle Sound,TRO,AS01-AS20,AS
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7A,Chesapeake Bay Tributaries,TRO,"CB21-CB26,CB30-CB36,CB38-CB39,CB41-CB46",CB
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7B,Chesapeake Bay - Mainstem,TRO,NOT IN THIS REGION,
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7C,Atlantic Ocean Coastal,TRO,"AO01-AO22,AO24",AO
cbaosc,Chesapeake Bay/Atlantic Ocean and Small Coastal,7D,Atlantic Ocean - South,TRO,"AO23,AO25-AO26",AO
chowds,Chowan River/Dismal Swamp,5A,Chowan River,TRO,CM29-CM32,CM
rapp,Rappahannock River,3,NA,VRO,NOT IN THIS REGION,
york,York River,8,NA,VRO,NOT IN THIS REGION,
shen,Potomac River,1A,Potomac River,VRO,PU01-PU22,PU
potlow,Potomac River,1A,Potomac River,VRO,NOT IN THIS REGION,
shen,Shenandoah River,1B,Shenandoah River,VRO,PS01-PS87,PS
jamesu,James River,2A,James River - Upper,VRO,"JU01-JU07,JU09,JU23,JU25-JU35,JU59-JU86",JU
jamesm,James River,2B,James River - Middle,VRO,"JM21-JM27,JM32-JM50,JM58",JM
jamesm,James River,2B,James River - Middle,VRO,JR01-JR22,JR
